,t
AHR,0.71652614175188
AR,-1.87329447933745
ARID1A,-0.0263656238475531
ARID1B,-0.425532826378313
ARID2,0.30790063317711
ARID3A,1.78320620644899
ARNT,-0.0569610315537785
ARNTL,0.348531465732364
ASCL1,-0.005331048470789
ATF1,1.39626161951689
ATF2,1.25415417553369
ATF3,-0.457641788272104
ATF4,1.5198785264036
ATF6,-1.37056732458476
ATF7,-1.35903547164177
BACH1,0.482588590179864
BACH2,0.969765928385658
BATF,1.93212720866415
BCL11A,-0.344086923599019
BCL3,3.45810414305971
BCL6,-1.78369295070705
BHLHE22,-0.193053519084711
BHLHE40,-1.76157536629114
CEBPA,1.47895059358676
CEBPB,-0.845504787222824
CEBPD,1.38503785466881
CEBPG,-2.11301226466263
CLOCK,0.990764541451964
CREB1,-0.621889236284682
CREB3,0.799549560754052
CREB3L1,0.187832948943945
CREM,1.26594037471856
CTCF,1.01515005078654
CTCFL,1.77867829030012
CUX1,0.616313346863018
DNMT3B,-0.0688422534087911
DUX4,-2.41909845448845
E2F1,4.06680228628284
E2F2,3.78264456857198
E2F3,1.99597516785015
E2F4,5.9796660335799
E2F5,2.9386280715666
E2F6,-1.94330800687861
E2F7,2.32939164305548
EBF1,0.668830681656656
EGR1,2.84009172908306
EHF,-0.469529041568096
ELF1,0.835424992034087
ELF3,-0.913169529075526
ELF5,-0.935204190639842
ELK1,0.00320949689459285
ELK4,-1.13078705533202
EOMES,0.00846477946666147
EPAS1,1.61506961169987
ERG,0.320090039871936
ESR1,2.18699507041949
ESR2,0.270700669608577
ESRRA,1.30070109529675
ETS1,3.14886212571831
ETS2,1.68998318705686
ETV1,-0.127608335075699
ETV4,2.79606496274639
FLI1,-0.372865072895645
FOS,3.55425228780836
FOSL1,-0.312858484200708
FOSL2,0.305849647143145
FOXA1,-1.03084844820746
FOXJ2,0.393621354753855
FOXK2,0.838889883216334
FOXL2,0.528836613847183
FOXM1,3.24949155222634
FOXO1,-0.803248313207342
FOXO3,-1.61580958128731
FOXO4,0.0993960212690262
FOXP1,-0.881824563962271
FOXP2,-1.17528109313837
GABPA,0.764406448145106
GATA1,0.825003557522047
GATA2,0.849863580727191
GATA3,-1.20249839310818
GATA4,-1.45315562634738
GATA6,0.179038019168075
GATAD1,1.21356228696784
GFI1B,1.17901987369949
GLI2,-0.198696700702393
GRHL2,1.40590457374346
HBP1,0.435777231556868
HIF1A,2.30266177774093
HINFP,0.0974883099500991
HMBOX1,-1.00632254821193
HNF1B,0.799937553787286
HNF4A,-0.382476474326984
HNF4G,-0.813001483003919
HOXA9,0.820747324436367
HOXB13,-0.882371018148975
HSF1,-0.262872992110292
IKZF1,1.29785209399364
IRF1,3.26280842314673
IRF2,5.42319873535244
IRF3,1.77601236859459
IRF4,0.363248888583108
IRF9,3.65496337310743
JUN,4.40172150072413
JUNB,1.89648116612293
JUND,1.85911718732691
KDM5B,0.54899981854988
KLF1,0.574879443416185
KLF13,-2.13082205920743
KLF3,2.14751911691661
KLF4,-1.29381271203323
KLF5,0.637747060958713
KLF6,2.87875801823365
KLF9,2.34907597277888
KMT2A,0.0658564099266076
LEF1,1.13497285469734
LHX2,-0.984304383493
LYL1,4.24052553886577
MAF,1.69419088552601
MAFB,-1.21087590999294
MAFF,1.51347928590895
MAFG,0.240426297199292
MAFK,-0.607480397145204
MAX,1.14806076621406
MAZ,0.787299896071118
MBD1,-1.94508937054125
MEF2A,2.05187281478566
MEF2B,0.557775708512373
MEF2C,2.47884550744631
MEIS1,-0.768158416224369
MEIS2,-0.48149404253421
MIER1,0.201415919872852
MITF,1.96024142822023
MNT,-2.6549291049865
MTA1,2.46349192484271
MTA2,1.93207321892517
MTA3,1.88361619130703
MXI1,-1.62136570181085
MYB,2.31836913187553
MYBL2,0.959219388883338
MYC,3.91753884811319
MYCN,2.13520324785704
MYOD1,-0.232405527477636
NANOG,0.231885129500783
NCOA1,-0.982239106955592
NCOA2,0.405836742107839
NCOA3,0.120757010462935
NCOR1,0.168223222249337
NCOR2,-2.26365150448541
NEUROD1,0.519290649458194
NFATC1,1.46802534262689
NFE2,1.51365290010762
NFE2L1,-0.190316041389478
NFE2L2,2.54023184099416
NFIC,0.045250929719827
NFKB1,5.38694708036115
NFKB2,-2.20291314313114
NFYA,1.43664238342262
NFYB,3.54125981665792
NONO,1.41632656433497
NR1H2,0.746690959212416
NR1H3,0.604930744168204
NR2C2,1.81049263202724
NR2F1,2.93031805843446
NR2F6,-1.65281944423332
NR3C1,-0.799405999146121
NR4A1,0.806313097769354
NR5A2,0.302038296861057
NRF1,1.84998853768822
ONECUT1,-0.532085047847673
OTX2,-0.613791741587522
PAX5,1.26815416320025
PAX6,2.25670448989148
PBX2,0.0840092552402243
PBX3,0.116146960930302
PDX1,-1.65055244082927
PKNOX1,-0.143926309811398
POU2F1,2.43856076813073
POU2F2,-0.644176922228022
POU4F2,-0.0373630624693595
POU5F1,-1.77672732097159
PPARA,2.03781518517068
PPARG,0.118598217683832
PRDM1,0.864957548336724
PRDM14,0.817060351276651
PROX1,-1.6433723799735
RARA,1.60200710099799
RBPJ,1.67549518103041
RCOR1,0.313818952935167
REL,2.46239257361571
RELA,5.36017498534082
RELB,4.002184516112
RFX1,-0.0388840471321977
RFX2,-1.21255619619517
RUNX1,0.935276959171554
RUNX2,-0.337152465745919
RUNX3,0.107401791736576
RXRA,0.096076663886064
SIX2,-2.15083107474832
SIX5,0.363114822839722
SMAD1,-1.61390448104713
SMAD2,-0.635244863907027
SMAD3,0.828110049300224
SMAD4,2.10039029562812
SMAD5,1.43574796492599
SMARCC2,0.5238784916303
SNAI2,-2.30134622032221
SNAPC4,2.13204335587355
SOX11,1.84879582391176
SOX13,0.375688020227298
SOX2,-1.17987349045205
SOX6,1.0444840307468
SOX9,1.9029131976921
SP1,4.73567235370998
SP2,-0.0118700907922328
SP3,2.32107781918966
SP4,1.06522953327031
SPI1,3.05189331261211
SPIB,0.959832305683076
SREBF1,1.205803838657
SREBF2,2.56263708368672
SRF,0.868860311409284
SSRP1,2.02990191881625
STAT1,1.61108447266683
STAT2,3.55669193757593
STAT3,1.84758377940362
STAT4,0.957708994994942
STAT5A,0.185809652109342
STAT5B,-0.0142154264121667
T,2.02650396867123
TAF1,2.44901672749022
TAL1,-1.66689421902446
TBP,0.544125825167068
TBX21,2.5742948780582
TCF12,-0.373610446094339
TCF25,0.415713520169811
TCF3,-0.298194382289755
TCF4,1.7330342843331
TCF7,2.40347673216798
TCF7L2,1.30921518042594
TEAD1,1.21017467960614
TEAD2,-0.141070572987399
TEAD4,-0.795103507809056
TFAP2A,2.02069094900543
TFAP2C,1.30242541695546
TFAP4,0.866474421411596
TFDP1,2.20583089320028
TGIF2,-1.22918931722421
THAP1,1.71541126359041
THAP11,2.48119671253156
TP53,0.128188116567699
TP63,1.288782096676
TP73,0.190646472295154
TWIST1,-0.0431180805071339
UBTF,1.62567258984684
USF1,0.539999044161993
USF2,-0.0183790578943405
VDR,0.386096446878321
WT1,1.27437105315744
XBP1,1.90236163162261
YY1,0.151914738170315
ZBED1,2.65106731124028
ZBTB11,0.898421088326948
ZBTB33,-0.537321276449771
ZBTB7A,-1.51473171573861
ZEB1,-1.08037536421331
ZEB2,-0.731409531305025
ZFX,0.952987630915789
ZKSCAN1,1.80858957878798
ZNF143,0.581590328940992
ZNF217,-0.167765300553022
ZNF24,-1.01889596794203
ZNF263,-4.96077979129445
ZNF274,-0.839195289579773
ZNF384,0.17012540244151
ZNF592,-0.257713945188575
ZNF639,-2.00919661754878
ZNF740,0.0334813490979426
